[2021-12-27 20:20:46.897677]: Camera 25; IP Address: 172.16.10.203 Offline
[2021-12-27 20:20:46.899678]: Camera 19; IP Address: 172.16.10.92 Offline
[2021-12-27 20:20:46.899678]: Camera 24; IP Address: 172.16.10.97 Offline
[2021-12-27 20:20:46.952688]: Camera 23; IP Address: 172.16.10.96 Offline

[2021-12-27 20:20:46.953691]: Camera 20; IP Address: 172.16.10.93 Offline
[2021-12-27 20:20:46.953691]: Camera 22; IP Address: 172.16.10.95 Offline
[2021-12-27 20:20:46.953691]: Camera 17; IP Address: 172.16.10.90 Offline
[2021-12-27 20:20:46.954690]: Camera 21; IP Address: 172.16.10.94 Offline
[2021-12-27 20:20:46.956707]: Camera 18; IP Address: 172.16.10.91 Offline
[2021-12-27 20:21:21.868502]: Camera 41; IP Address: 172.16.10.110 Offline
[2021-12-27 20:21:21.870502]: Camera 43; IP Address: 172.16.10.112 Offline
[2021-12-27 20:21:22.400553]: Camera 46; IP Address: 172.16.10.115 Offline
[2021-12-27 20:21:22.403551]: Camera 42; IP Address: 172.16.10.111 Offline
[2021-12-27 20:21:22.408553]: Camera 44; IP Address: 172.16.10.113 Offline
[2021-12-27 20:21:22.412554]: Camera 38; IP Address: 172.16.10.107 Offline
[2021-12-27 20:21:22.414555]: Camera 40; IP Address: 172.16.10.109 Offline
[2021-12-27 20:21:22.418555]: Camera 48; IP Address: 172.16.11.221 Offline
[2021-12-27 20:21:22.418555]: Camera 49; IP Address: 172.16.10.222 Offline
[2021-12-27 20:21:22.420556]: Camera 39; IP Address: 172.16.10.108 Offline
[2021-12-27 20:21:56.385822]: Camera 56; IP Address: 172.16.10.123 Offline
[2021-12-27 20:21:56.387823]: Camera 52; IP Address: 172.16.10.119 Offline
[2021-12-27 20:21:56.388824]: Camera 54; IP Address: 172.16.10.121 Offline
[2021-12-27 20:21:56.394829]: Camera 55; IP Address: 172.16.10.122 Offline
[2021-12-27 20:21:56.395826]: Camera 58; IP Address: 172.16.10.206 Offline
[2021-12-27 20:21:56.396828]: Camera 57; IP Address: 172.16.10.124 Offline
[2021-12-27 20:21:56.397836]: Camera 51; IP Address: 172.16.10.118 Offline
[2021-12-27 20:21:56.401894]: Camera 50; IP Address: 172.16.10.117 Offline
[2021-12-27 20:21:56.406200]: Camera 53; IP Address: 172.16.10.120 Offline
[2021-12-27 20:22:30.888579]: Camera 64; IP Address: 172.16.10.130 Offline
[2021-12-27 20:22:30.894580]: Camera 62; IP Address: 172.16.10.128 Offline
[2021-12-27 20:22:30.897580]: Camera 59; IP Address: 172.16.10.215 Offline
